Collection,Strain,organism,rep,endotrt,salttrt,ppt,m1,h1,plantdate,harvestdate,growdays,m2tot,m2root,m2shoot,h2,net change in weight,net change in height,status at harvest,weight change per growth day,height change per growth day
M1,10656,bacteria,12,C,F,,0.3,8.5,10/30/2020,11/27/2020,28,1,0.34,0.67,16.2,0.7,7.7,,0.025,0.275
M1,10656,bacteria,13,E,S,,0.25,5.1,10/30/2020,11/27/2020,28,0.28,0.08,0.2,7.6,0.03,2.5,,0.001071428571,0.08928571429
M1,10656,bacteria,1,E,F,,0.37,8.9,10/30/2020,11/27/2020,28,1.13,0.36,0.78,17.5,0.76,8.6,,0.02714285714,0.3071428571
M1,10656,bacteria,3,E,F,,0.36,11.2,10/30/2020,11/27/2020,28,1.14,0.4,0.74,17.6,0.78,6.4,,0.02785714286,0.2285714286
M1,10656,bacteria,5,E,F,,0.32,9.6,10/30/2020,11/27/2020,28,1.14,0.23,0.91,20.2,0.82,10.6,,0.02928571429,0.3785714286
M1,10656,bacteria,7,E,F,,0.3,9.5,10/30/2020,11/27/2020,28,1.21,0.39,0.82,18.5,0.91,9,,0.0325,0.3214285714
M1,10656,bacteria,8,E,S,,0.4,8.1,10/30/2020,11/27/2020,28,1.17,0.46,0.71,13.1,0.77,5,,0.0275,0.1785714286
M1,10656,bacteria,9,E,S,,0.33,10.6,10/30/2020,11/27/2020,28,0.88,0.3,0.56,17.6,0.55,7,,0.01964285714,0.25
M1,10656,bacteria,10,E,S,,0.27,7.6,10/30/2020,11/27/2020,28,0.24,0.14,0.1,8.8,-0.03,1.2,,-0.001071428571,0.04285714286
M1,10656,bacteria,11,E,S,,0.38,9,10/30/2020,11/27/2020,28,0.93,0.32,0.61,12.3,0.55,3.3,,0.01964285714,0.1178571429
M1,10656,bacteria,12,E,S,,0.24,6.6,10/30/2020,11/27/2020,28,0.71,0.26,0.45,10.4,0.47,3.8,,0.01678571429,0.1357142857
M1,10656,bacteria,13,E,F,,0.26,8.7,10/30/2020,11/27/2020,28,0.97,0.27,0.7,17.4,0.71,8.7,,0.02535714286,0.3107142857
M1,10709,bacteria,1,C,S,,0.36,10.3,11/13/2020,12/11/2020,28,0.89,0.32,0.57,12.5,0.53,2.2,,0.01892857143,0.07857142857
M1,10709,bacteria,2,C,F,,0.56,10.2,11/13/2020,12/11/2020,28,1.31,0.48,0.83,15.1,0.75,4.9,,0.02678571429,0.175
M1,10709,bacteria,4,C,F,,0.5,9.5,11/13/2020,12/11/2020,28,1.48,0.54,0.93,15.5,0.98,6,,0.035,0.2142857143
M1,10709,bacteria,5,C,S,,0.37,9.4,11/13/2020,12/11/2020,28,1.01,0.45,0.55,12.2,0.64,2.8,,0.02285714286,0.1
M1,10709,bacteria,6,C,F,,0.29,8.6,11/13/2020,12/11/2020,28,0.92,0.4,0.52,11.9,0.63,3.3,,0.0225,0.1178571429
M1,10709,bacteria,7,C,S,,0.31,8.8,11/13/2020,12/11/2020,28,0.88,0.32,0.56,11.4,0.57,2.6,,0.02035714286,0.09285714286
M1,10709,bacteria,8,C,F,,0.26,7.8,11/13/2020,12/11/2020,28,0.88,0.33,0.55,11.5,0.62,3.7,,0.02214285714,0.1321428571
M1,10709,bacteria,11,C,S,,0.26,8.2,11/13/2020,12/11/2020,28,0.72,0.24,0.49,13.5,0.46,5.3,,0.01642857143,0.1892857143
M1,10709,bacteria,12,C,F,,0.33,9.1,11/13/2020,12/11/2020,28,1.01,0.39,0.61,14.6,0.68,5.5,,0.02428571429,0.1964285714
M1,10709,bacteria,13,C,S,,0.43,9.2,11/13/2020,12/11/2020,28,1.34,0.57,0.77,16.6,0.91,7.4,,0.0325,0.2642857143
M1,10709,bacteria,1,E,F,,0.44,9.9,11/13/2020,12/11/2020,28,1.2,0.42,0.78,16.9,0.76,7,,0.02714285714,0.25
M1,10709,bacteria,2,E,S,,0.3,8.5,11/13/2020,12/11/2020,28,0.74,0.25,0.49,12,0.44,3.5,,0.01571428571,0.125
M1,10709,bacteria,4,E,S,,0.34,11.2,11/13/2020,12/11/2020,28,0.23,0.1,0.12,13.6,-0.11,2.4,DEAD,-0.003928571429,0.08571428571
M1,10709,bacteria,5,E,F,,0.41,8,11/13/2020,12/11/2020,28,1.17,0.45,0.71,12.4,0.76,4.4,,0.02714285714,0.1571428571
M1,10709,bacteria,6,E,S,,0.29,7.2,11/13/2020,12/11/2020,28,0.88,0.38,0.5,11.5,0.59,4.3,,0.02107142857,0.1535714286
M1,10709,bacteria,7,E,F,,0.24,8.6,11/13/2020,12/11/2020,28,0.54,0.22,0.32,11.6,0.3,3,,0.01071428571,0.1071428571
M1,10709,bacteria,8,E,F,,0.33,7.5,11/13/2020,12/11/2020,28,1.1,0.44,0.65,11.9,0.77,4.4,,0.0275,0.1571428571
M1,10709,bacteria,10,E,S,,0.35,9.8,11/13/2020,12/11/2020,28,0.94,0.34,0.6,13.2,0.59,3.4,,0.02107142857,0.1214285714
M1,10709,bacteria,12,E,S,,0.28,9.3,11/13/2020,12/11/2020,28,0.79,0.25,0.55,14.1,0.51,4.8,,0.01821428571,0.1714285714
M1,10709,bacteria,13,E,F,,0.31,10.3,11/13/2020,12/11/2020,28,0.98,0.34,0.64,16.4,0.67,6.1,,0.02392857143,0.2178571429
M1,10822,bacteria,1,C,F,,0.19,5.8,11/20/2020,12/18/2020,28,0.46,0.15,0.31,9,0.27,3.2,,0.009642857143,0.1142857143
M1,10822,bacteria,3,C,S,,0.37,10.9,11/20/2020,12/18/2020,28,0.67,0.22,0.45,13,0.3,2.1,,0.01071428571,0.075
M1,10822,bacteria,4,C,S,,0.22,8.5,11/20/2020,12/18/2020,28,0.4,0.11,0.29,11.8,0.18,3.3,,0.006428571429,0.1178571429
M1,10822,bacteria,5,C,S,,0.46,9.6,11/20/2020,12/18/2020,28,1.12,0.41,0.69,12.5,0.66,2.9,,0.02357142857,0.1035714286
M1,10822,bacteria,6,C,S,,0.34,7.9,11/20/2020,12/18/2020,28,0.17,0.08,0.07,7.6,-0.17,-0.3,DEAD,-0.006071428571,-0.01071428571
M1,10822,bacteria,7,C,F,,0.11,5,11/20/2020,12/18/2020,28,0.28,0.1,0.18,7.4,0.17,2.4,,0.006071428571,0.08571428571
M1,10822,bacteria,9,C,F,,0.25,6.8,11/20/2020,12/18/2020,28,0.65,0.24,0.4,10,0.4,3.2,,0.01428571429,0.1142857143
M1,10822,bacteria,11,C,F,,0.51,8.2,11/20/2020,12/18/2020,28,1.21,0.45,0.76,14.5,0.7,6.3,,0.025,0.225
M1,10822,bacteria,12,C,S,,0.37,8.6,11/20/2020,12/18/2020,28,0.85,0.29,0.56,12.4,0.48,3.8,,0.01714285714,0.1357142857
M1,10822,bacteria,13,C,F,,0.42,10.4,11/20/2020,12/18/2020,28,0.99,0.38,0.6,12.7,0.57,2.3,,0.02035714286,0.08214285714
M1,10822,bacteria,1,E,S,,0.23,5.1,11/20/2020,12/18/2020,28,0.2,0.12,0.07,6.4,-0.03,1.3,DEAD,-0.001071428571,0.04642857143
M1,10822,bacteria,2,E,F,,0.28,9.5,11/20/2020,12/18/2020,28,0.83,0.21,0.62,15.5,0.55,6,,0.01964285714,0.2142857143
M1,10822,bacteria,5,E,S,,0.19,4.6,11/20/2020,12/18/2020,28,0.07,0.01,0.03,3.7,-0.12,-0.9,,-0.004285714286,-0.03214285714
M1,10822,bacteria,7,E,F,,0.6,9.5,11/20/2020,12/18/2020,28,1.45,0.51,0.94,14.5,0.85,5,,0.03035714286,0.1785714286
M1,10822,bacteria,8,E,F,,0.47,8.9,11/20/2020,12/18/2020,28,1.12,0.48,0.65,13.5,0.65,4.6,,0.02321428571,0.1642857143
M1,10822,bacteria,9,E,S,,0.31,7.9,11/20/2020,12/18/2020,28,0.16,0.05,0.1,7.5,-0.15,-0.4,DEAD,-0.005357142857,-0.01428571429
M1,10822,bacteria,10,E,F,,0.6,10.9,11/20/2020,12/18/2020,28,1.22,0.41,0.8,14.5,0.62,3.6,,0.02214285714,0.1285714286
M1,10822,bacteria,11,E,S,,0.24,6.8,11/20/2020,12/18/2020,28,0.13,0.06,0.07,5,-0.11,-1.8,DEAD,-0.003928571429,-0.06428571429
M1,10822,bacteria,12,E,F,,0.19,7.4,11/20/2020,12/18/2020,28,0.48,0.17,0.3,12.5,0.29,5.1,,0.01035714286,0.1821428571
M1,10822,bacteria,13,E,S,,0.45,7.7,11/20/2020,12/18/2020,28,0.81,0.29,0.52,11.5,0.36,3.8,,0.01285714286,0.1357142857
BC3,2039,fungi,1,C,S,,0.22,9,12/18/2020,01/15/2021,28,0.1,0.02,0.06,8.5,-0.12,-0.5,DEAD,-0.004285714286,-0.01785714286
BC3,2039,fungi,3,C,F,,0.22,8,12/18/2020,01/15/2021,28,0.97,0.47,0.5,9.8,0.75,1.8,,0.02678571429,0.06428571429
BC3,2039,fungi,4,C,F,,0.4,11,12/18/2020,01/15/2021,28,0.66,0.32,0.33,10.7,0.26,-0.3,,0.009285714286,-0.01071428571
BC3,2039,fungi,5,C,F,,0.54,11.5,12/18/2020,01/15/2021,28,0.92,0.39,0.54,11.2,0.38,-0.3,,0.01357142857,-0.01071428571
BC3,2039,fungi,6,C,S,,0.57,10.6,12/18/2020,01/15/2021,28,0.61,0.2,0.41,10.8,0.04,0.2,,0.001428571429,0.007142857143
BC3,2039,fungi,7,C,S,,0.51,11.5,12/18/2020,01/15/2021,28,0.88,0.38,0.49,12.3,0.37,0.8,,0.01321428571,0.02857142857
BC3,2039,fungi,8,C,S,,0.56,10.1,12/18/2020,01/15/2021,28,0.28,0.17,0.1,9.9,-0.28,-0.2,DEAD,-0.01,-0.007142857143
BC3,2039,fungi,9,C,F,,0.44,10.9,12/18/2020,01/15/2021,28,0.83,0.35,0.45,10.1,0.39,-0.8,,0.01392857143,-0.02857142857
BC3,2039,fungi,10,C,S,,0.41,7.7,12/18/2020,01/15/2021,28,0.21,0.09,0.11,7,-0.2,-0.7,DEAD,-0.007142857143,-0.025
BC3,2039,fungi,11,C,F,,0.42,8.2,12/18/2020,01/15/2021,28,0.92,0.38,0.52,11.4,0.5,3.2,,0.01785714286,0.1142857143
BC3,2039,fungi,1,E,S,,0.41,8.9,12/18/2020,01/15/2021,28,0.68,0.23,0.46,11.2,0.27,2.3,,0.009642857143,0.08214285714
BC3,2039,fungi,2,E,F,,0.42,9,12/18/2020,01/15/2021,28,0.91,0.35,0.54,11,0.49,2,,0.0175,0.07142857143
BC3,2039,fungi,3,E,F,,0.46,10,12/18/2020,01/15/2021,28,0.5,0.19,0.29,10.7,0.04,0.7,,0.001428571429,0.025
BC3,2039,fungi,4,E,F,,0.32,7.6,12/18/2020,01/15/2021,28,0.84,0.33,0.49,10.3,0.52,2.7,,0.01857142857,0.09642857143
BC3,2039,fungi,5,E,S,,0.39,8.5,12/18/2020,01/15/2021,28,0.83,0.39,0.44,9.2,0.44,0.7,,0.01571428571,0.025
BC3,2039,fungi,6,E,S,,0.55,10.1,12/18/2020,01/15/2021,28,0.22,0.11,0.1,9.9,-0.33,-0.2,DEAD,-0.01178571429,-0.007142857143
BC3,2039,fungi,7,E,S,,0.72,10,12/18/2020,01/15/2021,28,0.27,0.14,0.13,9.7,-0.45,-0.3,DEAD,-0.01607142857,-0.01071428571
BC3,2039,fungi,9,E,F,,0.27,5.6,12/18/2020,01/15/2021,28,0.65,0.25,0.42,8.1,0.38,2.5,,0.01357142857,0.08928571429
BC3,2039,fungi,10,E,S,,0.36,8.5,12/18/2020,01/15/2021,28,0.51,0.16,0.34,9.3,0.15,0.8,,0.005357142857,0.02857142857
BC3,2039,fungi,11,E,F,,0.2,7.5,12/18/2020,01/15/2021,28,0.61,0.19,0.4,8.5,0.41,1,,0.01464285714,0.03571428571
M1,10899,fungi,1,C,S,,0.27,12.2,1/1/21,01/29/2021,28,0.2,0.1,0.09,9.5,-0.07,-2.7,DEAD,-0.0025,-0.09642857143
M1,10899,fungi,3,C,F,,0.29,9.4,1/1/21,01/29/2021,28,0.64,0.27,0.37,12.2,0.35,2.8,,0.0125,0.1
M1,10899,fungi,4,C,S,,0.5,10.5,1/1/21,01/29/2021,28,0.2,0.1,0.12,9.8,-0.3,-0.7,DEAD,-0.01071428571,-0.025
M1,10899,fungi,6,C,F,,0.38,9.5,1/1/21,01/29/2021,28,0.69,0.35,0.36,10.1,0.31,0.6,,0.01107142857,0.02142857143
M1,10899,fungi,7,C,S,,0.34,9.2,1/1/21,01/29/2021,28,0.15,0.06,0.09,9.6,-0.19,0.4,DEAD,-0.006785714286,0.01428571429
M1,10899,fungi,8,C,S,,0.51,11.6,1/1/21,01/29/2021,28,0.21,0.07,0.12,11.9,-0.3,0.3,DEAD,-0.01071428571,0.01071428571
M1,10899,fungi,9,C,F,,0.56,11.5,1/1/21,01/29/2021,28,0.8,0.36,0.44,12.4,0.24,0.9,,0.008571428571,0.03214285714
M1,10899,fungi,11,C,F,,0.57,11.5,1/1/21,01/29/2021,28,0.85,0.36,0.49,12.6,0.28,1.1,,0.01,0.03928571429
M1,10899,fungi,12,C,S,,0.52,12.2,1/1/21,01/29/2021,28,0.17,0.05,0.1,11.3,-0.35,-0.9,DEAD,-0.0125,-0.03214285714
M1,10899,fungi,13,C,F,,0.41,8.8,1/1/21,01/29/2021,28,0.75,0.33,0.42,9.4,0.34,0.6,,0.01214285714,0.02142857143
M1,10899,fungi,1,E,S,,0.26,5.5,1/1/21,01/29/2021,28,0.08,0.02,0.04,4.2,-0.18,-1.3,DEAD,-0.006428571429,-0.04642857143
M1,10899,fungi,3,E,S,,0.33,9.6,1/1/21,01/29/2021,28,0.68,0.27,0.41,11.7,0.35,2.1,,0.0125,0.075
M1,10899,fungi,5,E,F,,0.36,8,1/1/21,01/29/2021,28,0.87,0.35,0.52,9.7,0.51,1.7,,0.01821428571,0.06071428571
M1,10899,fungi,6,E,F,,0.54,11.5,1/1/21,01/29/2021,28,1.12,0.49,0.64,12.6,0.58,1.1,,0.02071428571,0.03928571429
M1,10899,fungi,7,E,S,,0.23,8.9,1/1/21,01/29/2021,28,0.1,0.03,0.05,8.7,-0.13,-0.2,DEAD,-0.004642857143,-0.007142857143
M1,10899,fungi,8,E,S,,0.42,9,1/1/21,01/29/2021,28,0.19,0.06,0.12,9.2,-0.23,0.2,DEAD,-0.008214285714,0.007142857143
M1,10899,fungi,9,E,F,,0.35,9,1/1/21,01/29/2021,28,1.22,0.5,0.72,12.5,0.87,3.5,,0.03107142857,0.125
M1,10899,fungi,10,E,F,,0.79,12,1/1/21,01/29/2021,28,1.46,0.59,0.86,14.4,0.67,2.4,,0.02392857143,0.08571428571
M1,10899,fungi,11,E,S,,0.52,7.2,1/1/21,01/29/2021,28,0.64,0.25,0.39,8.1,0.12,0.9,,0.004285714286,0.03214285714
M1,10899,fungi,13,E,F,,0.33,9,1/1/21,01/29/2021,28,1.08,0.41,0.66,14.4,0.75,5.4,,0.02678571429,0.1928571429